fold,model,accuracy,precision,recall,recall_class_0,recall_class_1,f1_score,auc
1,RandomForest,0.9083056478405316,0.9268817204301075,0.9729119638826185,0.42045454545454547,0.9729119638826185,0.9493392070484582,0.9080156816471715
1,LogisticRegression,0.9056478405315614,0.9242315939957112,0.9729119638826185,0.3977272727272727,0.9729119638826185,0.9479472140762464,0.909176414255421
2,RandomForest,0.9116279069767442,0.9358600583090378,0.9661399548532731,0.5,0.9661399548532731,0.9507589781562384,0.9221945755523634
2,LogisticRegression,0.9049833887043189,0.9253945480631277,0.9706546275395034,0.4090909090909091,0.9706546275395034,0.9474843922144693,0.9159099459607362
3,RandomForest,0.9049833887043189,0.9260057471264368,0.9699021820917983,0.4147727272727273,0.9699021820917983,0.9474457919882396,0.8814855667282304
3,LogisticRegression,0.9036544850498339,0.9198581560283688,0.9759217456734387,0.35795454545454547,0.9759217456734387,0.9470609711573567,0.8784715096791846
4,RandomForest,0.9049833887043189,0.9278499278499278,0.9676448457486833,0.4318181818181818,0.9676448457486833,0.947329650092081,0.9001043163007045
4,LogisticRegression,0.9023255813953488,0.9227467811158798,0.9706546275395034,0.38636363636363635,0.9706546275395034,0.9460946094609461,0.8930757917778235
5,RandomForest,0.9089700996677741,0.9281092739036664,0.9721385542168675,0.4350282485875706,0.9721385542168675,0.9496138286134609,0.8978902899734531
5,LogisticRegression,0.9096345514950166,0.9269340974212035,0.9743975903614458,0.423728813559322,0.9743975903614458,0.9500734214390602,0.8960120141583282
